CMPL	1	31657	6aa1ccf9ecc8c60d
id	category	name	lat	lon	address	description
monolithic-bas-relief-depicting-shiva	TOURIST	Monolithic Bas Relief Depicting Shiva	19.000756	72.847389	Parel, Mumbai 400012	Monument in Parel (400012). Dates from 600.
juhu-beach	TOURIST	Juhu Beach	19.107973	72.822996	Juhu Tara Road, Juhu, Mumbai 400049	Beach in Juhu (400049).
mbpt-colaba-fish-market	TOURIST	MBPT Colaba Fish Market	18.913768	72.823712	SBS Road, Sasoon Dock, Colaba, Colaba, Mumbai 400005	Market in Colaba (400005).
moolji-jaitha-market	TOURIST	Moolji Jaitha Market	18.949384	72.830704	Kalbadevi, Mumbai 400002	Market in Kalbadevi (400002).
fish-market	TOURIST	Fish Market	19.173075	72.962237	V B Phadke Marg, Mulund East, Mulund (East) 400081	Market in Mulund East (400081).
borivali-municpal-market	TOURIST	Borivali Municpal Market	19.230138	72.855743	Borivali West, Mumbai 400092	Market in Borivali West (400092).
bombay-fort-wall-remnant	TOURIST	Bombay Fort Wall Remnant	18.941191	72.838489	Mumbai GPO, Mumbai 400001	Fort in Mumbai GPO (400001).
bomanjee-hormasjee-wadia-memorial-clock-tower	TOURIST	Bomanjee Hormasjee Wadia Memorial Clock Tower	18.934531	72.835756	Perin Nariman Street, Mumbai GPO, Mumbai 400001	Monument in Mumbai GPO (400001).
kidzania	TOURIST	KidZania	19.099505	72.916845	Lal Bahadur Shastri Marg, Ghatkopar West, Mumbai 400086	Theme park in Ghatkopar West (400086).
holy-cross-chowk	TOURIST	Holy Cross Chowk	19.082864	72.885257	Father peter periera road, Kurla, Mumbai 400070	Memorial in Kurla (400070).
lokmanya-tilak-market	TOURIST	Lokmanya Tilak Market	18.961095	72.818446	Grant Road, Mumbai 400007	Market in Grant Road (400007).
bandra-market	TOURIST	Bandra Market	19.053719	72.832916	Bandra West, Mumbai 400050	Market in Bandra West (400050).
mount-poinsur-watch-tower	TOURIST	Mount Poinsur Watch Tower	19.243149	72.852892	Mandpeshwar, Mumbai 400103	Tower in Mandpeshwar (400103).
atal-park	TOURIST	Atal park	19.223730	72.842621	Borivali West, Mumbai 400092	Memorial in Borivali West (400092).
atal-bihari-bajpayee-park	TOURIST	Atal Bihari Bajpayee park	19.223719	72.842887	Borivali West, Mumbai 400092	Memorial in Borivali West (400092).
chhatrapati-shivaji-maharaj-monument	TOURIST	Chhatrapati Shivaji Maharaj Monument	19.098397	72.826754	Juhu, Mumbai 400049	Monument in Juhu (400049).
fish-market-2	TOURIST	Fish Market	19.046228	72.854004	Dharavi, Mumbai 400017	Market in Dharavi (400017).
chhatrapati-shivaji-municipal-market	TOURIST	Chhatrapati Shivaji Municipal Market	19.019604	72.841533	Bhawani Shankar, Mumbai 400028	Market in Bhawani Shankar (400028).
atal-bihari-bajpayee	TOURIST	Atal Bihari Bajpayee	19.223447	72.842656	Borivali West, Mumbai 400092	Memorial in Borivali West (400092).
atal-bihari-bajpayee-memorial	TOURIST	Atal Bihari Bajpayee memorial	19.223592	72.843139	Borivali West, Mumbai 400092	Memorial in Borivali West (400092).
swadeshi-market	TOURIST	Swadeshi Market	18.949287	72.827878	Kalbadevi, Mumbai 400002	Market in Kalbadevi (400002).
mahatma-gandhi-smruti-mandir	TOURIST	Mahatma Gandhi Smruti Mandir	19.225879	72.871739	Borivali East, Mumbai 400066	Memorial in Borivali East (400066).
gopi-tank-market	TOURIST	Gopi Tank Market	19.030752	72.842177	Mahim, Mumbai 400016	Market in Mahim (400016).
muncipal-marked	TOURIST	MUNCIPAL MARKED	19.019057	72.841267	Bhawani Shankar, Mumbai 400028	Market in Bhawani Shankar (400028).
andheri-market	TOURIST	Andheri Market	19.123170	72.845843	Andheri, Mumbai 400058	Market in Andheri (400058).
footware-market	TOURIST	Footware market	19.059363	72.887925	Chembur, Mumbai 400071	Market in Chembur (400071).
lakshmi-market	TOURIST	Lakshmi Market	19.070262	72.879053	Kurla, Mumbai 400070	Market in Kurla (400070).
mahatma-gandhi-market	TOURIST	Mahatma Gandhi Market	19.031426	72.858830	Sion, Mumbai 400022	Market in Sion (400022).
mahatma-jyotiba-phule-wholesale-fish-market	TOURIST	Mahatma Jyotiba Phule Wholesale Fish Market	18.946218	72.835340	Mumbai GPO, Mumbai 400001	Market in Mumbai GPO (400001).
manish-market	TOURIST	Manish Market	18.946715	72.836197	Mumbai GPO, Mumbai 400001	Market in Mumbai GPO (400001).
global-pegoda	TOURIST	Global Pegoda	19.228132	72.805783	Borivali, Mumbai 400091	Monument in Borivali (400091).
mumbai-university-grounds	TOURIST	Mumbai University Grounds	18.940627	72.825363	Marine Lines, Mumbai 400020	Stadium in Marine Lines (400020).
